Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg,Walk_Score,Percent_Public_Transit_Users_log,Ridership_log,avg_trains_per_hour_log,Duration_to_NY_Penn_log,Population_Density_log,Median_Household_Income_sqrt,Percent_Bach_Degree_log,Labor_Force_Participation_log,Employment_Rate_reciprocal,Unemployment_Rate_log,Median_Age_sqrt,Median_Household_Income_log,Total_Parking_Spaces_Log
5,Metropark (NEC),NEC,7537.0,1,83,METROPARK,40.56864,-74.329394,12.227272727272728,37.0,39.750698,3491,METROPARK,1996.2428467655332,125833.56412535612,31.88340546935675,71.96540155378021,95.3381289500204,6.02822512724826,19.252546725355685,43.51136310726442,21.333333333333336,3.008280549859988,8.92771217382708,2.5822808138131768,3.6375861597263857,7.599522931813884,354.7302695363847,3.492968137493701,4.289985377479885,0.010488982855162126,1.9499342027156585,6.596314357826227,11.74272334008393,8.158229916959494
6,PRINCETON JCT. (NEC),NEC,6817.0,1,125,PRINCETON JCT.,40.316316,-74.623753,22.363636363636363,55.0,78.535792,4118,PRINCETON JCT.,609.3753270584624,187301.5489054444,32.46697669580812,79.47314807581601,94.36332788813668,5.636672111863326,12.172908981657772,39.45070789405748,24.666666666666668,2.5781623707618726,8.827321452697849,3.1511808120968494,4.02535169073515,6.414074058213689,432.7834896405412,3.510559182365578,4.3879235645040024,0.010597337147598836,1.8926106498792798,6.280979851429033,12.140480497017876,8.323365694436081
7,Hamilton (NEC),NEC,5178.0,1,32905,HAMILTON,40.255309,-74.70412,11.727272727272728,63.0,87.70903,3539,HAMILTON,579.3726229930647,115007.19225251568,20.67282862905352,67.60569159319218,97.64395070410733,2.3560492958926837,8.192631215713956,36.99650270851608,9.284038347027227,2.218402208305606,8.552367266423891,2.5437471498109336,4.1588830833596715,6.3636703506919226,339.12710338826605,3.0760593390580158,4.228375499120989,0.010241289837097258,1.210764477380477,6.082475047915617,11.652758641786551,8.17188200612782
8,New Brunswick (NEC),NEC,4700.0,1,103,NEW BRUNSWICK,40.497278,-74.445751,12.818181818181818,57.0,52.786352,4441,NEW BRUNSWICK,5037.677400839643,67275.32641719551,19.59722431303752,62.212331992560365,95.47542414725322,5.608216026530983,10.635961728630903,30.34871067533391,100.0,2.4541004515789817,8.45553053102413,2.625985248047906,4.060443010546419,8.524898906158814,259.3748762258895,3.025156324631448,4.146499408582682,0.01047389952892678,1.8883137273506272,5.508966389018353,11.116563691747015,8.398860004454372
9,NEWARK AIRPORT RAILROAD STATION (NEC),NEC,4253.0,1,37953,NEWARK AIRPORT RAILROAD STATION,40.704415,-74.190717,21.045454545454547,26.0,20.438618,0,NEWARK AIRPORT RAILROAD STATION,1088.2788282762428,11634.0,2.143622722400857,11.126760563380282,72.57383966244726,27.42616033755274,72.09302325581395,39.5,1.989436788648692,4.291732921104005,8.355614995760183,3.0931064375791673,3.295836866004329,6.993271130817853,107.86102168995063,1.1453758681301072,2.4954146273864155,0.013779069767441861,3.3473098598255286,6.284902544988268,9.361773075736393,0.0
10,South Orange (M&E),M&E,4131.0,1,140,SOUTH ORANGE,40.745952,-74.260538,11.136363636363637,34.0,26.715044,511,SOUTH ORANGE,2262.619330735887,178387.20466446664,37.6509155992358,72.1392284843943,95.78745755410765,5.230115611358338,33.391181735827566,39.34911441466799,41.333333333333336,3.537800186628652,8.326516830239528,2.4962062050419336,3.5553480614894135,7.724720285051611,422.3590944498137,3.6545704642544123,4.292364864188628,0.010439780170959524,1.8293948898275543,6.272887247087101,12.091717379590554,6.238324625039508
11,TRENTON TRANSIT CENTER (NEC),NEC,3894.0,1,148,TRENTON TRANSIT CENTER,40.218515,-74.753926,11.727272727272728,70.0,93.663588,3644,TRENTON TRANSIT CENTER,4859.975117522396,41030.88557386424,9.882957269016662,59.76246339746353,89.47848071715188,12.543241804652544,11.944023608057591,36.12655017936701,70.0,2.560634184175535,8.267448958304849,2.5437471498109336,4.2626798770413155,8.488994338234246,202.56081944409743,2.3871980123087764,4.106972219984452,0.011175871471947253,2.6058876630994257,6.010536596624881,10.622104740360406,8.201111644442758
12,Summit (M&E),M&E,3880.0,1,145,SUMMIT,40.716549,-74.357807,16.09090909090909,41.0,36.853886,966,SUMMIT,1534.561262628598,175551.93266989835,37.67873547720299,65.29049569541104,93.98899068627092,7.361200029826519,22.26359862305752,40.59363358414184,44.666666666666664,3.1468898480668486,8.263848131368906,2.8385466900315786,3.7376696182833684,7.336651236596291,418.98917965730135,3.655289978147987,4.1940465339054,0.010639543979548992,2.123601961032744,6.371313332755017,12.075695887067399,6.874198495453294
13,Metuchen (NEC),NEC,3534.0,1,84,METUCHEN,40.540736,-74.360671,12.0,46.0,43.934982,1552,METUCHEN,1694.7889446873776,126668.45311684906,28.81399417645001,73.71671883289021,95.9781646823919,4.530650941642408,19.452452795715384,40.56808261414113,38.0,3.0181028164072274,8.170468578330674,2.5649493574615367,3.8501476017100584,7.435903365617244,355.90511813803556,3.3949778865188445,4.313703880120339,0.010419036489280352,1.7103055195729286,6.369307859896641,11.749336241083414,7.347943823148687
14,Maplewood (M&E),M&E,3488.0,1,81,MAPLEWOOD,40.731149,-74.275427,11.090909090909092,38.0,28.807186,655,MAPLEWOOD,2176.8114303524967,201959.053533363,38.778453543633766,73.16637559354871,95.0066654181274,5.679649906035264,36.26768543534227,41.024144883197046,40.666666666666664,3.6181266089424424,8.157370441186774,2.4924538554233835,3.6635616461296463,7.686075720475879,449.3985464299623,3.6833253974472835,4.306310888349119,0.010525577290803416,1.8990655768989821,6.405009358556555,12.215825202041954,6.486160788944089
15,Elizabeth (NEC),NEC,3417.0,1,41,ELIZABETH,40.667857,-74.215174,15.545454545454543,30.0,25.105704,1299,ELIZABETH,6322.731594633503,69235.13886883107,15.29612813416384,65.9691663160233,94.08493623402654,6.850014768789793,11.94942545355389,35.71944766598648,28.666666666666668,2.5610514206403883,8.136810863675537,2.8061114142784245,3.4339872044851463,8.752064755087343,263.12570925097964,2.79092754181479,4.204232309226038,0.010628694029324775,2.0605154131670433,5.976574910932388,11.145278243275849,7.170119543449628
16,Rahway (NEC),NEC,3233.0,1,127,RAHWAY,40.606338,-74.276692,17.40909090909091,41.0,33.957074,646,RAHWAY,3190.3527872149293,74842.85021775485,16.093142236037984,67.94791240234714,94.93815438839069,7.771998073803427,12.938493599833487,36.7627656329135,22.666666666666664,2.634654336353501,8.081475040137052,2.912844613748223,3.7376696182833684,8.06820017711335,273.57421336404286,2.838677344242849,4.2333513268026675,0.010533172952878499,2.171564610970965,6.063230626729738,11.2231592250529,6.472346294500901
17,Edison Station (NEC),NEC,3008.0,1,38,EDISON STATION,40.519148,-74.410972,12.0,51.0,48.923936,797,EDISON STATION,2148.6917369426565,96891.22649811865,23.45028677614753,65.96824503133314,90.41519121566624,9.609696613075904,10.638162200532523,33.19844634097824,39.33333333333333,2.4542895432857095,8.009363076630045,2.5649493574615367,3.9512437185814275,7.673079732675871,311.2735557321223,3.1966419449378844,4.204218552282687,0.01106008831651655,2.361768357785009,5.761809294048029,11.48135457276327,6.682108597449809
18,Newark Broad ST,M&E,2996.0,1,106,NEWARK BROAD ST,40.747621,-74.171943,18.47826086956522,24.0,16.89807,0,NEWARK BROAD ST,5763.720098272076,56563.18514010225,19.55058466272316,59.65724054751579,90.94751835333486,10.12805066599131,35.818011863077345,33.67751255399997,44.0,3.6059871782329487,8.005367067316664,2.9692990164858357,3.2188758248682006,8.659511879620242,237.83016028271572,3.0228893912783152,4.105239010746249,0.010995352243861771,2.4094690076294065,5.803232939836206,10.943131292530687,0.0
19,Westfield (RVL),RVL,2722.0,0,155,WESTFIELD,40.649448,-74.347629,6.090909090909091,53.0,35.244546,698,WESTFIELD,1777.0399076466529,187974.77553690836,39.97286954193499,66.72522842836653,95.60714570579071,5.243660514130203,21.315271252617748,40.83512771447316,88.0,3.1052712536254474,7.909489492673759,1.9588135538912212,3.9889840465642745,7.483266861067546,433.56057885479896,3.712910129182607,4.215458760846483,0.010459469243829045,1.8315666312407826,6.390236905974078,12.144068379982674,6.54965074223381
20,Aberdeen-Matawan (NJCL),NJCL,2337.0,1,37169,ABERDEEN-MATAWAN,40.420161,-74.223702,9.0,62.0,56.809702,1297,ABERDEEN-MATAWAN,1485.2545614554435,100392.34855799915,23.85089886827149,69.06502424735608,94.73287793067011,5.2671220693298775,14.122011110593157,43.25976335272704,3.978873577297384,2.7161513718662116,7.757051142032013,2.302585092994046,4.143134726391533,7.3040145171040285,316.8475162566359,3.2128939236498835,4.249423728691572,0.010555997261392672,1.8353172491651573,6.577215471058177,11.516851234622857,7.168579897264035
