Ridership Rank,Station Name,Line,Ridership,Midtown Direct Binary,stop_id,Official NJT Station Name,stop_lat,stop_lon,avg_trains_per_hour,Duration to NY Penn (mins),Distance from NY Penn (km),Total Parking Spaces,station_name,Popoulation_Density_weighted_avg,Median_Household_Income_weighted_avg,Percent_Bach_Degree_weighted_avg,Labor_Force_Participation_Rate_weighted_avg,Employment_Rate_weighted_avg,Unemployment_Rate_weighted_avg,Percent_Public_Transit_Users_weighted_avg,Median_Age_weighted_avg
5,Metropark (NEC),NEC,7537.0,1,83,METROPARK,40.56864,-74.329394,12.227272727272728,40.0,39.750698,3491,METROPARK,1996.2428467655332,125833.56412535612,31.88340546935675,71.96540155378021,95.3381289500204,6.02822512724826,19.252546725355685,43.51136310726442
6,PRINCETON JCT. (NEC),NEC,6817.0,1,125,PRINCETON JCT.,40.316316,-74.623753,22.363636363636363,55.0,78.535792,4118,PRINCETON JCT.,609.3753270584624,187301.5489054444,32.46697669580812,79.47314807581601,94.36332788813668,5.636672111863326,12.172908981657772,39.45070789405748
7,Hamilton (NEC),NEC,5178.0,1,32905,HAMILTON,40.255309,-74.70412,11.727272727272728,63.0,87.70903,3539,HAMILTON,579.3726229930647,115007.19225251568,20.67282862905352,67.60569159319218,97.64395070410733,2.3560492958926837,8.192631215713956,36.99650270851608
8,New Brunswick (NEC),NEC,4700.0,1,103,NEW BRUNSWICK,40.497278,-74.445751,12.818181818181818,57.0,52.786352,4441,NEW BRUNSWICK,5037.677400839643,67275.32641719551,19.59722431303752,62.212331992560365,95.47542414725322,5.608216026530983,10.635961728630903,30.34871067533391
9,NEWARK AIRPORT RAILROAD STATION (NEC),NEC,4253.0,1,37953,NEWARK AIRPORT RAILROAD STATION,40.704415,-74.190717,21.045454545454547,29.0,20.438618,0,NEWARK AIRPORT RAILROAD STATION,1088.2788282762428,11634.0,2.143622722400857,11.126760563380282,72.57383966244726,27.42616033755274,72.09302325581395,39.5
10,South Orange (M&E),M&E,4131.0,1,140,SOUTH ORANGE,40.745952,-74.260538,11.136363636363637,35.0,26.715044,511,SOUTH ORANGE,2262.619330735887,178387.20466446664,37.6509155992358,72.1392284843943,95.78745755410765,5.230115611358338,33.391181735827566,39.34911441466799
11,TRENTON TRANSIT CENTER (NEC),NEC,3894.0,1,148,TRENTON TRANSIT CENTER,40.218515,-74.753926,11.727272727272728,70.0,93.663588,3781,TRENTON TRANSIT CENTER,4859.975117522396,41030.88557386424,9.882957269016662,59.76246339746353,89.47848071715188,12.543241804652544,11.944023608057591,36.12655017936701
12,Summit (M&E),M&E,3880.0,1,145,SUMMIT,40.716549,-74.357807,16.09090909090909,41.0,36.692952,966,SUMMIT,1534.561262628598,175551.93266989835,37.67873547720299,65.29049569541104,93.98899068627092,7.361200029826519,22.26359862305752,40.59363358414184
13,Metuchen (NEC),NEC,3534.0,1,84,METUCHEN,40.540736,-74.360671,12.0,46.0,43.934982,1552,METUCHEN,1694.7889446873776,126668.45311684906,28.81399417645001,73.71671883289021,95.9781646823919,4.530650941642408,19.452452795715384,40.56808261414113
14,Maplewood (M&E),M&E,3488.0,1,81,MAPLEWOOD,40.731149,-74.275427,11.090909090909092,39.0,28.807186,655,MAPLEWOOD,2176.8114303524967,201959.053533363,38.778453543633766,73.16637559354871,95.0066654181274,5.679649906035264,36.26768543534227,41.024144883197046
